"barras"|"precio"|"operador"|"fecha_inicio"|"fecha_fin"|"observaciones"|"fecha"|"hora"|"vigente"|"clase"
"8445290995476"|450.00|ROMANG|2024-07-17|2024-07-29| |2024-07-16|07:17:39|N|1
"7798084058750"|6016.00|FLAVIOP|2024-07-18|2024-07-31| |2024-07-16|11:19:16|N|1
"7798084058392"|4120.00|FLAVIOP|2024-07-18|2024-07-31| |2024-07-16|11:19:45|N|1
"7798084058668"|4400.00|FLAVIOP|2024-07-18|2024-07-31| |2024-07-16|11:20:05|N|1
"7798084058378"|3000.00|FLAVIOP|2024-07-18|2024-07-31| |2024-07-16|11:20:37|N|1
"7798084058361"|3320.00|FLAVIOP|2024-07-18|2024-07-31| |2024-07-16|11:21:10|N|1
"7798084058651"|4520.00|FLAVIOP|2024-07-18|2024-07-31| |2024-07-16|11:21:41|N|1
"7798084053021"|4120.00|FLAVIOP|2024-07-18|2024-07-31| |2024-07-16|11:22:05|N|1
"7798084058743"|5040.00|FLAVIOP|2024-07-18|2024-07-31| |2024-07-16|11:22:33|N|1
"7798084058354"|3720.00|FLAVIOP|2024-07-18|2024-07-31| |2024-07-16|11:23:08|N|1
"7798084052260"|2280.00|FLAVIOP|2024-07-18|2024-07-31| |2024-07-16|11:23:32|N|1
"7798084059078"|4160.00|FLAVIOP|2024-07-18|2024-07-31| |2024-07-16|11:24:45|N|1
"7798084053472"|1720.00|FLAVIOP|2024-07-18|2024-07-31| |2024-07-16|11:29:27|N|1
"7798084050556"|4360.00|FLAVIOP|2024-07-18|2024-07-31| |2024-07-16|11:29:56|N|1
"7798084058422"|7480.00|FLAVIOP|2024-07-18|2024-07-31| |2024-07-16|11:30:28|N|1
"7798084058415"|7480.00|FLAVIOP|2024-07-18|2024-07-31| |2024-07-16|11:30:54|N|1
