CódigoProducto,Descripción,FechaInicio_Oferta,FechaFin_Oferta,Precio,Sucursal
7791290792838,LIQUIDO P/ROPA SKIP P/DILUIR 500ML BIO-ENZIMAS    ,2024-08-02,2024-08-08,5437.5,1
7791290793378,LIMPIADOR CIF CREMA 750G ROSAS Y JAZMINES         ,2024-08-16,2024-08-22,2208.3,1
7791290794801,SUAVIZANTE DRIVE DP 900CC CLASICO                 ,2024-08-23,2024-08-29,1290.0,1
7791290794818,SUAVIZANTE DRIVE DP 900CC LAVANDA Y MORA          ,2024-08-23,2024-08-29,1290.0,1
7791290795495,LIQUIDO P/ROPA ALA P/DILUIR 500ML. BICARBONATO    ,2024-08-23,2024-08-29,4760.0,1
7791290795518,LIQUIDO P/ROPA SKIP P/DILUIR 500ML DELUXE         ,2024-08-02,2024-08-08,5437.5,1
7791290795822,LIMPIADOR CIF PISOS DP.450ML DESINFECTANTE        ,2024-08-09,2024-08-15,1056.0,1
7791293008141,DESODORANTE DOVE FEM.ORIGINAL 87G                 ,2024-08-16,2024-08-22,2480.0,1
7791293030760,SHAMPOO SEDAL 340ML CASPA                         ,2024-08-02,2024-08-08,2440.0,1
7791293030760,SHAMPOO SEDAL 340ML CASPA                         ,2024-08-23,2024-08-29,2440.0,1
7791293030777,SHAMPOO SEDAL 340ML CERAMIDAS                     ,2024-08-02,2024-08-08,2440.0,1
7791293030777,SHAMPOO SEDAL 340ML CERAMIDAS                     ,2024-08-23,2024-08-29,2440.0,1
7791293030807,SHAMPOO SEDAL 340ML CREMA BALANCE                 ,2024-08-02,2024-08-08,2440.0,1
7791293030807,SHAMPOO SEDAL 340ML CREMA BALANCE                 ,2024-08-23,2024-08-29,2440.0,1
7791293030845,SHAMPOO SEDAL 340ML LISO PERFECTO                 ,2024-08-02,2024-08-08,2440.0,1
7791293030845,SHAMPOO SEDAL 340ML LISO PERFECTO                 ,2024-08-23,2024-08-29,2440.0,1
7791293030876,SHAMPOO SEDAL 340ML REST. INSTANTANEA             ,2024-08-02,2024-08-08,2440.0,1
7791293030876,SHAMPOO SEDAL 340ML REST. INSTANTANEA             ,2024-08-23,2024-08-29,2440.0,1
7791293030883,SHAMPOO SEDAL 340ML RIZOS DEFINIDOS               ,2024-08-02,2024-08-08,2440.0,1
7791293030883,SHAMPOO SEDAL 340ML RIZOS DEFINIDOS               ,2024-08-23,2024-08-29,2440.0,1
7791293030913,ACONDICIONADOR SEDAL 340ML CREMA BALANCE          ,2024-08-02,2024-08-08,2440.0,1
7791293030937,ACONDICIONADOR SEDAL 340ML CERAMIDAS              ,2024-08-02,2024-08-08,2440.0,1
7791293030982,ACONDICIONADOR SEDAL 340ML LISO PERFECTO          ,2024-08-02,2024-08-08,2440.0,1
7791293031019,ACONDICIONADOR SEDAL 340ML REST.INSTANTANEA       ,2024-08-02,2024-08-08,2440.0,1
7791293031026,ACONDICIONADOR SEDAL 340ML RIZOS DEFINIDOS        ,2024-08-02,2024-08-08,2440.0,1
7791293031927,JABON TOCADOR REXONA 120G SENSIBLE                ,2024-08-09,2024-08-15,680.0,1
7791293031941,JABON TOCADOR REXONA 120G COTTON FRESH            ,2024-08-09,2024-08-15,680.0,1
7791293040189,SHAMPOO SEDAL 340ML CARBON ACTIVADO Y PEONIAS     ,2024-08-02,2024-08-08,2440.0,1
7791293040189,SHAMPOO SEDAL 340ML CARBON ACTIVADO Y PEONIAS     ,2024-08-23,2024-08-29,2440.0,1
7791293040219,ACONDICIONADOR SEDAL 340ML CARBON ACTIVADO        ,2024-08-02,2024-08-08,2440.0,1
7791293040745,ACONDICIONADOR SEDAL 340ML BOMBA ARGAN            ,2024-08-02,2024-08-08,2440.0,1
7791293040875,SHAMPOO SEDAL 340ML BOMBA ARGAN                   ,2024-08-02,2024-08-08,2440.0,1
7791293040875,SHAMPOO SEDAL 340ML BOMBA ARGAN                   ,2024-08-23,2024-08-29,2440.0,1
7791293040950,TALCO EFFICIENT ORIGINAL 100G                     ,2024-08-16,2024-08-22,1385.5,1
7791293041988,SHAMPOO SEDAL 340ML HIALURONICO Y VIT A           ,2024-08-02,2024-08-08,2440.0,1
7791293041988,SHAMPOO SEDAL 340ML HIALURONICO Y VIT A           ,2024-08-23,2024-08-29,2440.0,1
7791293042015,SHAMPOO SEDAL 340ML COLAGENO Y VIT C              ,2024-08-02,2024-08-08,2440.0,1
7791293042015,SHAMPOO SEDAL 340ML COLAGENO Y VIT C              ,2024-08-23,2024-08-29,2440.0,1
7791293042046,ACONDICIONADOR SEDAL 340ML HIALURONICO Y VIT A    ,2024-08-02,2024-08-08,2440.0,1
7791293042077,ACONDICIONADOR SEDAL 340ML COLAGENO Y VIT C       ,2024-08-02,2024-08-08,2440.0,1
7791293042800,ACONDICIONADOR SEDAL 340ML JENGIBRE Y RICINO      ,2024-08-02,2024-08-08,2440.0,1
7791293042978,SHAMPOO SEDAL 340ML JENGIBRE Y RICINO             ,2024-08-02,2024-08-08,2440.0,1
7791293042978,SHAMPOO SEDAL 340ML JENGIBRE Y RICINO             ,2024-08-23,2024-08-29,2440.0,1
7791293044484,TALCO EFFICIENT FRESH 100G                        ,2024-08-16,2024-08-22,1385.5,1
7791293049731,SHAMPOO SEDAL 340ML PREBIOTICOS+BIOTINA           ,2024-08-02,2024-08-08,2440.0,1
7791293049731,SHAMPOO SEDAL 340ML PREBIOTICOS+BIOTINA           ,2024-08-23,2024-08-29,2440.0,1
7791293049762,ACONDICIONADOR SEDAL 340ML PREBIOTICOS+BIOTINA    ,2024-08-02,2024-08-08,2440.0,1
7791293050973,JABON TOCADOR REXONA 120G BAMBOO                  ,2024-08-09,2024-08-15,680.0,1
7791293050997,JABON TOCADOR REXONA 120G FUTBOL                  ,2024-08-09,2024-08-15,680.0,1
7791293051000,JABON TOCADOR REXONA 120G NUTRITIVE ORCHID        ,2024-08-09,2024-08-15,680.0,1
7791337004290,YOGHURT YOGURISIMO NATURAL 300G. S/AZUCAR         ,2024-08-23,2024-08-29,1998.0,1
7791337005457,QUESO BLANCO LS 290G ENTERO                       ,2024-08-16,2024-08-22,1900.0,1
7791337005464,QUESO BLANCO LS 290G                              ,2024-08-16,2024-08-22,1900.0,1
7791337006348,YOGHURT YOGURISIMO NATURAL 300G.                  ,2024-08-23,2024-08-29,1998.0,1
7791337007888,YOGHURT G.COMPRA BEBIBLE 900ML.FRUTILLA           ,2024-08-16,2024-08-22,1300.0,1
7791337007895,YOGHURT G.COMPRA BEBIBLE 900ML.VAINILLA           ,2024-08-16,2024-08-22,1300.0,1
7791422000503,PAN RALLADO PRIMER PRECIO 400 GRS.                ,2024-08-16,2024-08-22,649.0,1
7791422000510,REBOZADOR PRIMER PRECIO 400 GRS.                  ,2024-08-16,2024-08-22,649.0,1
7791708001422,PAN VENEZIANA TRISALVADO LIGTH 620G               ,2024-08-27,2024-08-30,2500.0,1
7791987000499,PREMEZCLA P/PANIFICADOS LAS 3 HARINAS 500G.       ,2024-08-09,2024-08-15,3798.0,1
7792180001528,HARINA CAÑUELAS 000 1KG.                          ,2024-08-09,2024-08-15,720.0,1
7792180004512,HARINA PUREZA 000 1KG.                            ,2024-08-02,2024-08-08,760.0,1
7792180140814,BIZCOCHOS 9 DE ORO GRANOLA 180G.                  ,2024-08-06,2024-08-30,460.0,1
7792198005402,MATE COCIDO PRIMER PRECIO 25 SAQ.                 ,2024-08-09,2024-08-15,690.0,1
7792200020119,BIZCOCHOS 9 DE ORO SALVADO 200GRS                 ,2024-08-06,2024-08-30,460.0,1
7792665010533,HARINA MAIZ MONARCA 500G. C.RAPIDA                ,2024-08-23,2024-08-29,330.0,1
7792860009882,CARAMELOS PICO DULCE ANIMALS CREMY 150G. (300854) ,2024-08-23,2024-08-23,3704.0,1
7792880000012,AZUCAR EN PANCITOS MENDEZ 500G                    ,2024-08-09,2024-08-15,2140.0,1
7793040065117,CONG.HAMBURGUESAS FRIAR 160G. CLASICAS COD.4309   ,2024-08-16,2024-08-22,1120.0,1
7793040065728,SALCHICHAS CARCARAÑA 190G.COD.909                 ,2024-08-07,2024-08-08,700.0,1
7793253002442,"LIMPIADOR POETT 1,8L LOVE EVOLUTION               ",2024-08-09,2024-08-15,2072.0,1
7793253003074,"LIMPIADOR POETT 1,8L MUSICA PRIMAVERA             ",2024-08-09,2024-08-15,2072.0,1
7793253003234,QUITAMANCHAS AYUDIN R.COLOR DP.400ML              ,2024-08-02,2024-08-08,1791.0,1
7793253003234,QUITAMANCHAS AYUDIN R.COLOR DP.400ML              ,2024-08-09,2024-08-15,1791.0,1
7793253003258,QUITAMANCHAS AYUDIN BLANCO SUP.DP.400ML           ,2024-08-02,2024-08-08,1791.0,1
