codigo,Descripcion_Articulo_Oferta,Marca_producto,sucursal,fecha_inicio,fecha_fin,stock,Total_Ventas_Unidad,cantidad_ventas_normal,fechas_normal,aumento_ventas,cantidad_dias
262720,CREMON LIGHT 280G,MASTELLONE HNOS S.A.,Nogoya Sur,2024-08-23,2024-08-29,13.0,6,5,"2024-08-06, 2024-08-08, 2024-08-10",20.0,3
263297,CREMON ORIGINAL 280G.,MASTELLONE HNOS S.A.,Crespo,2024-08-23,2024-08-29,20.0,30,15,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-05, 2024-08-06",100.0,5
263297,CREMON ORIGINAL 280G.,MASTELLONE HNOS S.A.,Hernandez,2024-08-23,2024-08-29,8.0,2,1,2024-08-20,100.0,1
263297,CREMON ORIGINAL 280G.,MASTELLONE HNOS S.A.,Nogoya Italia,2024-08-23,2024-08-29,3.0,15,1,2024-08-20,1400.0,1
263297,CREMON ORIGINAL 280G.,MASTELLONE HNOS S.A.,Nogoya Sur,2024-08-23,2024-08-29,5.0,8,5,"2024-08-03, 2024-08-09, 2024-08-10, 2024-08-15, 2024-08-30",60.0,5
100209,CREMONA KG.,PANIF. LAR,Nogoya Sur,2024-08-09,2024-08-10,-4.0,0,0,"2024-08-01, 2024-08-03",,2
100209,CREMONA KG.,PANIF. LAR,Crespo,2024-08-09,2024-08-10,-176.0,14,8,"2024-08-01, 2024-08-02",75.0,2
592192,DESODORANTE DOVE FEM.ORIGINAL 87G,ELIDA PONDS,Nogoya Sur,2024-08-16,2024-08-22,71.0,39,18,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-05, 2024-08-07",116.67,5
592192,DESODORANTE DOVE FEM.ORIGINAL 87G,ELIDA PONDS,Nogoya Italia,2024-08-16,2024-08-22,195.0,22,15,"2024-08-01, 2024-08-02, 2024-08-06, 2024-08-07, 2024-08-08",46.67,5
592192,DESODORANTE DOVE FEM.ORIGINAL 87G,ELIDA PONDS,Hernandez,2024-08-16,2024-08-22,34.0,3,6,"2024-08-02, 2024-08-03, 2024-08-05, 2024-08-07, 2024-08-12",-50.0,5
592192,DESODORANTE DOVE FEM.ORIGINAL 87G,ELIDA PONDS,Crespo,2024-08-16,2024-08-22,179.0,128,34,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-05, 2024-08-06",276.47,5
751618,DESODORANTE REXONA R.ON FEM NUTRTITIVE 50ML,ELIDA PONDS,Crespo,2024-08-09,2024-08-15,59.0,45,8,"2024-08-01, 2024-08-02, 2024-08-05, 2024-08-06, 2024-08-07",462.5,5
751618,DESODORANTE REXONA R.ON FEM NUTRTITIVE 50ML,ELIDA PONDS,Nogoya Sur,2024-08-09,2024-08-15,84.0,6,5,"2024-08-19, 2024-08-20, 2024-08-21, 2024-08-22, 2024-08-29",20.0,5
785026,DESODORANTE REXONA R.ON MEN INVISIBLE 50ML,ELIDA PONDS,Crespo,2024-08-09,2024-08-15,50.0,16,17,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-16, 2024-08-19",-5.88,5
785026,DESODORANTE REXONA R.ON MEN INVISIBLE 50ML,ELIDA PONDS,Nogoya Sur,2024-08-09,2024-08-15,72.0,11,14,"2024-08-16, 2024-08-21, 2024-08-23, 2024-08-24, 2024-08-28",-21.43,5
785026,DESODORANTE REXONA R.ON MEN INVISIBLE 50ML,ELIDA PONDS,Hernandez,2024-08-09,2024-08-15,64.0,1,8,"2024-08-01, 2024-08-16, 2024-08-19, 2024-08-22, 2024-08-29",-87.5,5
785026,DESODORANTE REXONA R.ON MEN INVISIBLE 50ML,ELIDA PONDS,Nogoya Italia,2024-08-09,2024-08-15,45.0,10,9,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-08, 2024-08-16",11.11,5
785033,DESODORANTE REXONA R.ON MEN V8 50ML,ELIDA PONDS,Crespo,2024-08-09,2024-08-15,68.0,41,18,"2024-08-01, 2024-08-03, 2024-08-05, 2024-08-16, 2024-08-20",127.78,5
785033,DESODORANTE REXONA R.ON MEN V8 50ML,ELIDA PONDS,Hernandez,2024-08-09,2024-08-15,52.0,1,10,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-07, 2024-08-20",-90.0,5
785033,DESODORANTE REXONA R.ON MEN V8 50ML,ELIDA PONDS,Nogoya Sur,2024-08-09,2024-08-15,112.0,7,13,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-05, 2024-08-06",-46.15,5
72869,DESODORANTE REXONA ROOL-ON 0% ACTIVE EMOTION,ELIDA PONDS,Crespo,2024-08-09,2024-08-15,60.0,39,22,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-05, 2024-08-07",77.27,5
72869,DESODORANTE REXONA ROOL-ON 0% ACTIVE EMOTION,ELIDA PONDS,Nogoya Italia,2024-08-09,2024-08-15,43.0,21,18,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-05, 2024-08-06",16.67,5
72869,DESODORANTE REXONA ROOL-ON 0% ACTIVE EMOTION,ELIDA PONDS,Nogoya Sur,2024-08-09,2024-08-15,192.0,24,10,"2024-08-21, 2024-08-23, 2024-08-24, 2024-08-26, 2024-08-27",140.0,5
334944,DISCOS EMPANADAS LA SALTEÑA 330G.FREIR MAS CROCANT,LA SALTEÑA,Crespo,2024-08-16,2024-08-23,123.0,97,13,"2024-08-02, 2024-08-05, 2024-08-06, 2024-08-07, 2024-08-09",646.15,5
328582,DISCOS EMPANADAS LA SALTEÑA BALANCE 240G.,LA SALTEÑA,Crespo,2024-08-16,2024-08-23,61.0,60,27,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-06, 2024-08-07",122.22,5
255976,DULCE DE LECHE P. PRECIO 400G CLASICO,TANTO,Nogoya Italia,2024-08-02,2024-08-08,119.0,63,25,"2024-08-09, 2024-08-10, 2024-08-12, 2024-08-13, 2024-08-14",152.0,5
255976,DULCE DE LECHE P. PRECIO 400G CLASICO,TANTO,Crespo,2024-08-02,2024-08-08,41.0,274,102,"2024-08-01, 2024-08-09, 2024-08-10, 2024-08-12, 2024-08-13",168.63,5
255976,DULCE DE LECHE P. PRECIO 400G CLASICO,TANTO,Hernandez,2024-08-02,2024-08-08,72.0,24,21,"2024-08-12, 2024-08-13, 2024-08-14, 2024-08-15, 2024-08-16",14.29,5
255976,DULCE DE LECHE P. PRECIO 400G CLASICO,TANTO,Nogoya Sur,2024-08-02,2024-08-08,182.0,72,22,"2024-08-01, 2024-08-09, 2024-08-10, 2024-08-12, 2024-08-15",227.27,5
276086,DURAZNO NATURAL P.PRECIO LIGHT 485G.,RONCHI E HIJOS,Crespo,2024-08-09,2024-08-15,197.0,108,60,"2024-08-01, 2024-08-02, 2024-08-03, 2024-08-05, 2024-08-06",80.0,5
276086,DURAZNO NATURAL P.PRECIO LIGHT 485G.,RONCHI E HIJOS,Nogoya Sur,2024-08-09,2024-08-15,298.0,51,12,"2024-08-01, 2024-08-02, 2024-08-05, 2024-08-06, 2024-08-07",325.0,5
276086,DURAZNO NATURAL P.PRECIO LIGHT 485G.,RONCHI E HIJOS,Nogoya Italia,2024-08-09,2024-08-15,11.0,11,4,"2024-08-02, 2024-08-03, 2024-08-08",175.0,3
276086,DURAZNO NATURAL P.PRECIO LIGHT 485G.,RONCHI E HIJOS,Hernandez,2024-08-09,2024-08-15,97.0,32,10,"2024-08-01, 2024-08-02, 2024-08-05, 2024-08-06, 2024-08-07",220.0,5
100138,EMPAQUE MIXTO SIN CAROZO KG. 11158,ACHETONI,Crespo,2024-08-09,2024-08-15,68.0,6,1,"2024-08-01, 2024-08-02, 2024-08-05, 2024-08-06, 2024-08-07",500.0,5
68352,ENDULZANTE TRINI STEVIA LIQUIDA 100,TRINI STEVIA,Crespo,2024-08-09,2024-08-15,135.0,9,9,"2024-08-02, 2024-08-03, 2024-08-05, 2024-08-06, 2024-08-07",0.0,5
405867,ENERGIZANTE RED BULL 250 C.C.,PEPSI-SEVEN UP,Crespo,2024-08-09,2024-08-10,120.0,4,6,"2024-08-12, 2024-08-13",-33.33,2
405867,ENERGIZANTE RED BULL 250 C.C.,PEPSI-SEVEN UP,Nogoya Italia,2024-08-09,2024-08-10,34.0,1,3,"2024-08-07, 2024-08-20",-66.67,2
405867,ENERGIZANTE RED BULL 250 C.C.,PEPSI-SEVEN UP,Nogoya Sur,2024-08-09,2024-08-10,71.0,24,28,"2024-08-24, 2024-08-26",-14.29,2
101277,FACTURAS LAR KG.,PANIF. LAR,Crespo,2024-08-02,2024-08-03,-200.0,107,82,"2024-08-01, 2024-08-05",30.49,2
101277,FACTURAS LAR KG.,PANIF. LAR,Crespo,2024-08-15,2024-08-16,-690.0,103,88,"2024-08-01, 2024-08-02",17.05,2
101277,FACTURAS LAR KG.,PANIF. LAR,Crespo,2024-08-30,2024-08-31,-1200.0,108,88,"2024-08-01, 2024-08-02",22.73,2
101277,FACTURAS LAR KG.,PANIF. LAR,Nogoya Sur,2024-08-02,2024-08-03,-2.0,5,3,"2024-08-01, 2024-08-06",66.67,2
101277,FACTURAS LAR KG.,PANIF. LAR,Nogoya Sur,2024-08-15,2024-08-16,-24.0,6,4,"2024-08-01, 2024-08-02",50.0,2
101277,FACTURAS LAR KG.,PANIF. LAR,Nogoya Sur,2024-08-30,2024-08-31,-56.0,4,4,"2024-08-01, 2024-08-02",0.0,2
25752,FIDEOS KNORR CODITOS 500G.,MOLINOS TRES ARROYOS,Crespo,2024-08-02,2024-08-08,22.0,26,235,"2024-08-01, 2024-08-09, 2024-08-10, 2024-08-13, 2024-08-14",-88.94,5
25752,FIDEOS KNORR CODITOS 500G.,MOLINOS TRES ARROYOS,Nogoya Italia,2024-08-02,2024-08-08,112.0,20,11,"2024-08-12, 2024-08-13, 2024-08-14, 2024-08-15, 2024-08-16",81.82,5
25752,FIDEOS KNORR CODITOS 500G.,MOLINOS TRES ARROYOS,Hernandez,2024-08-02,2024-08-08,2.0,2,0,,,0
25752,FIDEOS KNORR CODITOS 500G.,MOLINOS TRES ARROYOS,Nogoya Sur,2024-08-02,2024-08-08,193.0,55,15,"2024-08-01, 2024-08-09, 2024-08-10, 2024-08-12, 2024-08-13",266.67,5
27105,FIDEOS KNORR FORATTI 500G.,MOLINOS TRES ARROYOS,Nogoya Italia,2024-08-02,2024-08-08,207.0,30,14,"2024-08-01, 2024-08-09, 2024-08-10, 2024-08-12, 2024-08-13",114.29,5
27105,FIDEOS KNORR FORATTI 500G.,MOLINOS TRES ARROYOS,Hernandez,2024-08-02,2024-08-08,18.0,3,6,"2024-08-01, 2024-08-09, 2024-08-10, 2024-08-14, 2024-08-15",-50.0,5
