codigo,barras,descripcion,fecha_inicio,fecha_fin,porcentaje_descuento,sucursal,stock
242081.0,7790950139242,APERITIVO TRES TORRES SERRANO 2L.                 ,2024-08-30,2024-08-31,23.21,Hernandez,44.0
242081.0,7790950139242,APERITIVO TRES TORRES SERRANO 2L.                 ,2024-08-30,2024-08-31,23.21,Nogoya Italia,28.0
242081.0,7790950139242,APERITIVO TRES TORRES SERRANO 2L.                 ,2024-08-30,2024-08-31,23.21,Nogoya Sur,194.0
260806.0,7793253004316,AROMATIZANTE POETT 360ML ALEGRA TU DIA            ,2024-08-23,2024-08-29,15.0,Hernandez,57.0
260806.0,7793253004316,AROMATIZANTE POETT 360ML ALEGRA TU DIA            ,2024-08-23,2024-08-29,15.0,Nogoya Sur,47.0
260806.0,7793253004316,AROMATIZANTE POETT 360ML ALEGRA TU DIA            ,2024-08-23,2024-08-29,15.0,Crespo,31.0
260806.0,7793253004316,AROMATIZANTE POETT 360ML ALEGRA TU DIA            ,2024-08-23,2024-08-29,15.0,Nogoya Italia,25.0
259294.0,7793253004262,AROMATIZANTE POETT 360ML ALGODON                  ,2024-08-23,2024-08-29,15.0,Nogoya Italia,42.0
259294.0,7793253004262,AROMATIZANTE POETT 360ML ALGODON                  ,2024-08-23,2024-08-29,15.0,Hernandez,84.0
259294.0,7793253004262,AROMATIZANTE POETT 360ML ALGODON                  ,2024-08-23,2024-08-29,15.0,Nogoya Sur,70.0
259294.0,7793253004262,AROMATIZANTE POETT 360ML ALGODON                  ,2024-08-23,2024-08-29,15.0,Crespo,18.0
259291.0,7793253004255,AROMATIZANTE POETT 360ML BEBE                     ,2024-08-23,2024-08-29,15.0,Hernandez,61.0
259291.0,7793253004255,AROMATIZANTE POETT 360ML BEBE                     ,2024-08-23,2024-08-29,15.0,Nogoya Italia,20.0
259291.0,7793253004255,AROMATIZANTE POETT 360ML BEBE                     ,2024-08-23,2024-08-29,15.0,Nogoya Sur,80.0
259291.0,7793253004255,AROMATIZANTE POETT 360ML BEBE                     ,2024-08-23,2024-08-29,15.0,Crespo,23.0
260808.0,7793253004293,AROMATIZANTE POETT 360ML DESPERTAR DE ENERGIA     ,2024-08-23,2024-08-29,15.0,Hernandez,71.0
260808.0,7793253004293,AROMATIZANTE POETT 360ML DESPERTAR DE ENERGIA     ,2024-08-23,2024-08-29,15.0,Nogoya Italia,43.0
260808.0,7793253004293,AROMATIZANTE POETT 360ML DESPERTAR DE ENERGIA     ,2024-08-23,2024-08-29,15.0,Crespo,21.0
